City,Lat,Long,Max Tempurature,Humidity,Cloudiness,Wind Speed,Country,Date
provideniya,64.3833,-173.3,28.4,93,90,15.66,RU,1611268863
borgarnes,64.5383,-21.9206,30.2,69,20,25.32,IS,1611268864
tiksi,71.6872,128.8694,-31.07,83,100,18.63,RU,1611268864
ushibuka,32.1906,130.0228,59.97,88,89,7.34,JP,1611268864
sitka,57.0531,-135.33,39.2,87,90,3.44,US,1611268864
mandalgovi,45.7625,106.2708,10.15,84,75,6.31,MN,1611268865
pilane,-24.45,26.1333,77.0,61,0,6.91,BW,1611268865
killam,52.7834,-111.8518,24.8,86,95,8.05,CA,1611268865
praia,14.9215,-23.5087,71.6,78,75,19.57,CV,1611268866
ribeira grande,38.5167,-28.7,59.54,67,98,5.77,PT,1611268866
chegdomyn,51.1167,133.0167,-27.65,84,74,0.69,RU,1611268866
safaga,26.7292,33.9365,57.2,44,0,11.5,EG,1611268867
talaja,21.35,72.05,66.09,49,0,8.1,IN,1611268867
praia da vitoria,38.7333,-27.0667,62.6,100,20,6.17,PT,1611268868
garden city,42.3256,-83.331,42.8,48,40,18.41,US,1611268868
jalu,29.0331,21.5482,45.93,57,0,8.43,LY,1611268868
jhabua,22.7667,74.6,63.03,30,0,3.6,IN,1611268868
kaitangata,-46.2817,169.8464,60.01,63,54,11.01,NZ,1611268869
esperance,-33.8667,121.9,64.4,82,90,13.8,AU,1611268869
arraial do cabo,-22.9661,-42.0278,77.0,83,20,14.97,BR,1611268869
bilibino,68.0546,166.4372,-20.81,82,95,3.85,RU,1611268869
le portel,50.7056,1.5757,41.0,93,75,3.44,FR,1611268870
lavrentiya,65.5833,-171.0,25.7,97,100,17.85,RU,1611268870
waddan,29.1614,16.139,50.22,45,22,11.5,LY,1611268870
ascension,30.2169,-90.9001,71.6,73,90,5.75,US,1611268871
derzhavinsk,51.1,66.3167,-13.07,89,25,8.55,KZ,1611268871
katobu,-4.9408,122.5276,78.71,86,2,3.13,ID,1611268871
mazagao,-0.115,-51.2894,80.6,83,75,5.75,BR,1611268872
chapais,49.7834,-74.8492,5.0,85,90,11.5,CA,1611268872
pombia,45.653,8.6336,37.4,100,90,2.3,IT,1611268872
tessalit,20.1986,1.0114,61.47,26,0,13.42,ML,1611268873
clive,41.603,-93.7241,39.2,52,20,19.57,US,1611268873
mpika,-11.8343,31.4529,61.95,98,100,6.13,ZM,1611268873
chara,56.9064,118.2631,-27.9,67,25,0.87,RU,1611268874
praya,14.9215,-23.5087,71.6,78,75,19.57,CV,1611268866
westport,41.1415,-73.3579,37.99,60,1,3.44,US,1611268874
sesheke,-17.4759,24.2968,68.54,98,100,1.34,ZM,1611268874
yulara,-25.2406,130.9889,84.2,12,97,6.91,AU,1611268875
zhanakorgan,43.9098,67.2495,17.26,93,100,22.26,KZ,1611268875
kruisfontein,-34.0033,24.7314,70.0,93,8,3.0,ZA,1611268875
ashland,40.8167,-82.2665,39.2,60,1,13.8,US,1611268875
lixourion,38.2019,20.4314,55.58,74,87,12.17,GR,1611268876
comodoro rivadavia,-45.8667,-67.5,89.6,27,0,16.11,AR,1611268876
hobyo,5.3505,48.5268,78.48,82,89,19.91,SO,1611268877
sakakah,29.9697,40.2064,39.2,45,0,6.38,SA,1611268877
longyearbyen,78.2186,15.6401,10.4,61,0,21.85,SJ,1611268877
nuevo progreso,23.1667,-97.95,78.01,60,8,4.0,MX,1611268877
xai-xai,-25.0519,33.6442,72.48,82,4,5.57,MZ,1611268878
ornskoldsvik,63.2909,18.7153,24.8,100,90,12.66,SE,1611268878
novo aripuana,-5.1206,-60.3797,72.55,98,100,2.66,BR,1611268879
college,64.8569,-147.8028,6.8,72,20,3.62,US,1611268793
louis trichardt,-23.0439,29.9032,65.03,88,25,8.39,ZA,1611268879
kasamwa,-2.85,32.4333,64.44,85,70,2.8,TZ,1611268879
grand gaube,-20.0064,57.6608,79.0,77,22,1.99,MU,1611268880
kununurra,-15.7667,128.7333,80.6,100,100,3.62,AU,1611268880
sierra vista,31.5545,-110.3037,55.99,76,90,12.66,US,1611268880
nanortalik,60.1432,-45.2371,23.36,87,0,5.03,GL,1611268881
kirakira,-10.4544,161.9205,83.37,74,100,11.54,SB,1611268881
carauari,-4.8828,-66.8958,75.47,89,45,2.59,BR,1611268882
sladkovo,55.5284,70.3385,-17.45,89,41,8.81,RU,1611268882
abalak,58.1286,68.5944,-9.24,91,100,5.32,RU,1611268882
leshukonskoye,64.8989,45.7622,-17.55,88,14,3.83,RU,1611268882
kieta,-6.2167,155.6333,83.61,61,98,8.55,PG,1611268883
ayan,56.45,138.1667,-14.55,73,100,12.62,RU,1611268884
juanjui,-7.1779,-76.7314,79.32,77,7,1.61,PE,1611268884
agadez,19.75,10.25,58.26,33,0,8.66,NE,1611268884
ceske velenice,48.7685,14.9637,30.99,86,54,8.99,CZ,1611268884
qeshm,26.9581,56.2719,66.2,67,0,4.61,IR,1611268885
yasnyy,51.0333,59.8742,-4.23,92,100,15.01,RU,1611268886
tawau,4.2498,117.8871,75.2,94,20,2.3,MY,1611268886
salalah,17.0151,54.0924,68.0,60,0,3.44,OM,1611268886
mehamn,71.0357,27.8492,19.4,86,90,13.8,NO,1611268886
marathon,44.9,-89.7668,32.0,51,90,24.16,US,1611268887
mount gambier,-37.8333,140.7667,62.6,82,40,8.05,AU,1611268887
gladstone,-23.85,151.25,77.0,57,14,10.36,AU,1611268887
camargo,27.6667,-105.1667,73.27,36,47,12.95,MX,1611268887
omsukchan,62.5333,155.8,-28.41,78,3,4.07,RU,1611268888
beidao,34.5686,105.8933,33.6,66,100,2.39,CN,1611268888
makakilo city,21.3469,-158.0858,82.4,51,90,8.05,US,1611268888
sulangan,11.1373,123.7228,81.18,79,31,3.02,PH,1611268888
bambanglipuro,-7.95,110.2833,78.58,81,100,2.71,ID,1611268889
quito,-0.2299,-78.5249,60.8,77,75,10.36,EC,1611268722
oktyabrskoye,43.0645,44.7417,15.8,86,0,6.71,RU,1611268889
balky,47.3834,34.944,31.96,98,3,10.54,UA,1611268890
denpasar,-8.65,115.2167,79.16,75,100,6.11,ID,1611268890
silikatnyy,53.9896,48.3275,15.8,92,90,11.18,RU,1611268890
bandarbeyla,9.4942,50.8122,74.17,79,83,15.61,SO,1611268891
honiara,-9.4333,159.95,82.04,73,95,7.63,SB,1611268891
adrar,20.5022,-10.0711,63.27,24,65,11.34,MR,1611268891
fairbanks,64.8378,-147.7164,6.8,72,20,3.62,US,1611268892
coruripe,-10.1256,-36.1756,77.32,79,100,9.69,BR,1611268892
dongsheng,39.8161,109.9776,18.19,78,0,5.19,CN,1611268893
the valley,18.217,-63.0578,78.8,78,20,9.22,AI,1611268777
shiyan,32.6475,110.7781,45.52,57,100,0.87,CN,1611268823
matale,7.4721,80.6234,68.52,94,91,2.8,LK,1611268894
shingu,33.7333,135.9833,53.71,81,58,3.06,JP,1611268750
hofn,64.2539,-15.2082,29.21,89,57,24.7,IS,1611268895
aykhal,66.0,111.5,-53.28,68,66,4.12,RU,1611268895
bubaque,11.2833,-15.8333,78.46,74,52,10.87,GW,1611268895
avera,33.194,-82.5271,59.0,94,90,9.22,US,1611268895
smithers,54.7804,-127.1743,23.0,80,90,4.61,CA,1611268742
marsh harbour,26.5412,-77.0636,70.92,61,91,7.27,BS,1611268896
kloulklubed,7.0419,134.2556,77.0,94,90,4.61,PW,1611268896
tura,25.5198,90.2201,55.9,58,0,3.69,IN,1611268896
upernavik,72.7868,-56.1549,26.42,98,85,11.63,GL,1611268897
terney,45.0503,136.6092,7.75,83,0,11.48,RU,1611268897
yongan,39.6957,113.6871,20.66,74,0,1.28,CN,1611268897
constitucion,-35.3333,-72.4167,63.3,76,19,7.29,CL,1611268898
krasnoarmeysk,51.0239,45.6969,14.0,80,100,5.99,RU,1611268898
deputatskiy,69.3,139.9,-32.66,84,100,3.87,RU,1611268898
ishinomaki,38.4167,141.3,33.8,75,75,3.44,JP,1611268898
paka,4.6374,103.4368,75.2,94,51,2.68,MY,1611268633
auki,-8.7676,160.7034,83.95,60,78,6.87,SB,1611268899
lompoc,34.6391,-120.4579,66.99,48,0,13.8,US,1611268649
sobolevo,54.4299,31.8996,30.54,98,99,12.01,RU,1611268899
clemson,34.6834,-82.8374,55.0,76,20,9.22,US,1611268900
jinchang,38.4953,102.1739,25.63,65,20,2.77,CN,1611268900
dukat,62.55,155.55,-27.35,78,1,3.22,RU,1611268901
nagato,34.3833,131.2,50.0,100,75,4.61,JP,1611268848
daudnagar,25.0333,84.4,46.4,93,0,3.44,IN,1611268901
melfi,40.9965,15.6514,43.95,82,100,7.99,IT,1611268901
hopelchen,19.7667,-89.85,80.6,69,20,11.5,MX,1611268902
itarema,-2.9248,-39.9167,79.65,78,89,12.71,BR,1611268902
dali,25.7,100.1833,37.49,83,26,1.63,CN,1611268902
caravelas,-17.7125,-39.2481,75.85,78,2,5.73,BR,1611268902
kungurtug,50.5994,97.5228,6.19,86,29,2.71,RU,1611268903
gizo,-8.103,156.8419,83.52,72,100,14.81,SB,1611268904
tahta,26.7693,31.5021,51.8,43,0,5.75,EG,1611268904
san patricio,28.017,-97.5169,66.2,94,90,2.48,US,1611268905
santa marta,11.2408,-74.199,84.99,62,29,21.0,CO,1611268659
pak phanang,8.3511,100.202,73.27,82,46,3.69,TH,1611268907
pasighat,28.0667,95.3333,53.33,71,0,3.42,IN,1611268907
ugoofaaru,5.6667,73.0,81.79,67,57,5.59,MV,1611268907
ambilobe,-13.2,49.05,74.53,93,96,0.76,MG,1611268908
port-gentil,-0.7193,8.7815,80.6,89,40,4.61,GA,1611268908
metro,-5.1131,105.3067,73.87,93,100,4.34,ID,1611268908
new richmond,45.123,-92.5366,23.0,49,1,16.11,US,1611268908
aksarka,66.5606,67.7975,-40.77,80,62,10.36,RU,1611268909
talnakh,69.4865,88.3972,-41.12,78,9,3.04,RU,1611268909
kodiak,57.79,-152.4072,41.0,81,90,20.71,US,1611268909
fergus falls,46.283,-96.0776,10.4,72,75,20.71,US,1611268909
caibarien,22.5206,-79.4669,75.2,57,21,10.36,CU,1611268910
kindersley,51.4668,-109.1682,15.8,86,90,13.8,CA,1611268910
grenfell,-33.9,148.1667,80.44,42,0,16.2,AU,1611268910
aromashevo,56.8602,68.6375,-15.21,89,90,8.01,RU,1611268911
riyadh,24.6877,46.7219,44.6,52,0,8.88,SA,1611268687
bowen,-20.0167,148.2333,78.8,65,73,13.8,AU,1611268911
paamiut,61.994,-49.6678,24.66,86,0,8.23,GL,1611268912
bhiwandi,19.3,73.0667,73.4,68,0,2.55,IN,1611268912
irituia,-1.7711,-47.4381,74.44,97,100,3.11,BR,1611268913
balikpapan,-1.2675,116.8289,77.0,88,75,14.97,ID,1611268712
souris,49.6172,-100.2612,10.4,72,75,12.66,CA,1611268913
chifeng,42.2683,118.9636,6.53,85,0,2.62,CN,1611268913
beroroha,-21.6667,45.1667,75.99,83,99,2.1,MG,1611268914
cidreira,-30.1811,-50.2056,73.54,87,86,16.22,BR,1611268914
estevan,49.1334,-102.9842,12.2,73,90,14.97,CA,1611268914
cameron park,38.6688,-120.9872,61.0,37,63,1.99,US,1611268914
cochabamba,-17.3895,-66.1568,66.2,55,75,4.61,BO,1611268915
geraldton,-28.7667,114.6,68.0,94,0,2.3,AU,1611268915
bengkulu,-3.8004,102.2655,74.57,86,100,5.12,ID,1611268915
newport,51.5877,-2.9984,41.0,94,1,1.01,GB,1611268916
shubarshi,48.5872,57.1869,-6.9,91,86,6.69,KZ,1611268916
eidsvag,62.7767,8.0668,44.6,52,75,4.61,NO,1611268917
novyy rogachik,48.6768,44.0608,8.6,78,90,17.9,RU,1611268917
saint-augustin,51.226,-58.6502,12.34,90,91,2.06,CA,1611268917
koumac,-20.5667,164.2833,80.51,71,97,6.4,NC,1611268918
ndele,8.4109,20.6473,70.27,23,12,7.14,CF,1611268918
ballina,-28.8667,153.5667,75.0,73,89,5.75,AU,1611268918
sola,-13.8833,167.55,81.88,80,100,10.67,VU,1611268919
goderich,43.7501,-81.7165,35.6,75,100,14.97,CA,1611268919
moron,-34.6534,-58.6198,87.8,35,0,17.27,AR,1611268919
manamadurai,9.7,78.4833,75.0,92,65,5.17,IN,1611268920
sisimiut,66.9395,-53.6735,21.34,80,0,6.58,GL,1611268921
cowra,-33.8333,148.6833,70.0,62,0,1.99,AU,1611268921
nakamura,32.9833,132.9333,55.04,92,100,0.69,JP,1611268922
nadym,65.5333,72.5167,-38.36,80,0,10.78,RU,1611268922
vieira de leiria,39.8695,-8.9324,60.01,88,75,17.27,PT,1611268922
akdagmadeni,39.6603,35.8836,21.83,90,80,2.48,TR,1611268923
millbrook,32.4799,-86.3619,61.0,100,90,4.79,US,1611268923
natitingou,10.3042,1.3796,76.12,17,11,11.45,BJ,1611268923
nelson bay,-32.7167,152.15,77.0,68,0,6.91,AU,1611268924
tianpeng,30.9866,103.9393,46.99,1,89,3.38,CN,1611268924
udachnyy,66.4167,112.4,-56.88,53,80,3.04,RU,1611268924
moche,-8.1711,-79.0092,69.8,83,20,10.36,PE,1611268925
mahalapye,-23.1041,26.8142,70.93,72,40,11.88,BW,1611268925
havre-saint-pierre,50.2334,-63.5986,1.4,71,1,3.44,CA,1611268925
bilma,18.6853,12.9164,61.48,29,0,7.72,NE,1611268925
zhigansk,66.7697,123.3711,-39.28,80,100,5.88,RU,1611268926
fortuna,40.5982,-124.1573,59.0,54,20,4.61,US,1611268723
maryborough,-25.5333,152.7,75.99,73,0,3.0,AU,1611268926
pangnirtung,66.1451,-65.7125,28.4,59,75,5.75,CA,1611268927
san juan,-31.5375,-68.5364,94.05,15,54,9.48,AR,1611268927
biak,-0.9131,122.8766,78.03,77,17,2.26,ID,1611268927
champasak,14.75,106.0,63.97,76,94,1.41,LA,1611268928
nabire,-3.3667,135.4833,80.58,76,93,1.79,ID,1611268928
kamaishi,39.2667,141.8833,40.32,73,81,7.16,JP,1611268929
sao joao da barra,-21.6403,-41.0511,78.8,73,0,11.5,BR,1611268929
fort nelson,58.8053,-122.7002,23.0,74,20,2.3,CA,1611268763
pasni,25.2631,63.471,68.88,82,44,7.49,PK,1611268930
solano,38.2333,-121.9511,64.0,27,1,9.22,US,1611268930
souillac,-20.5167,57.5167,77.0,83,40,5.75,MU,1611268930
campbeltown,55.4258,-5.6076,39.2,81,8,16.11,GB,1611268930
ngorongoro,-3.2397,35.4875,52.59,100,100,2.89,TZ,1611268931
quang ngai,15.1167,108.8,65.86,91,66,4.5,VN,1611268813
novobureyskiy,49.798,129.8774,-25.26,85,7,0.83,RU,1611268931
taltal,-25.4,-70.4833,68.25,66,22,6.08,CL,1611268932
sibiti,-3.6819,13.3499,69.67,99,100,0.56,CG,1611268932
verin,41.9415,-7.4381,46.0,99,98,4.0,ES,1611268932
katangli,51.7102,143.2326,-4.52,90,98,11.79,RU,1611268932
tecolutla,20.4833,-97.0167,80.6,61,75,11.63,MX,1611268933
mitsamiouli,-11.3847,43.2844,82.38,79,80,14.03,KM,1611268933
itoman,26.1247,127.6694,66.2,94,75,8.05,JP,1611268695
pochutla,15.7432,-96.4661,91.4,43,20,11.5,MX,1611268933
yuxia,34.0615,108.6291,39.0,93,100,2.24,CN,1611268934
point fortin,10.1833,-61.6833,80.01,83,1,1.01,TT,1611268930
iwaki,37.05,140.8833,39.99,80,75,2.3,JP,1611268934
magistralnyy,56.1725,107.4458,-10.07,87,100,3.87,RU,1611268934
abucay,14.7667,120.4833,75.2,94,75,2.3,PH,1611268935
nantucket,41.2835,-70.0995,39.2,75,90,13.8,US,1611268935
karatuzskoye,53.6072,92.8667,16.95,96,100,4.72,RU,1611268935
ulladulla,-35.35,150.4667,78.01,53,0,8.05,AU,1611268935
moussoro,13.6408,16.4901,62.33,29,0,14.34,TD,1611268861
billings,45.7833,-108.5007,34.0,59,90,3.44,US,1611268936
anqing,30.5092,117.0506,48.34,88,98,3.98,CN,1611268936
florianopolis,-27.6146,-48.5012,73.0,94,75,5.75,BR,1611268936
luangwa,-15.6167,30.4167,73.09,92,100,2.48,ZM,1611268940
usvyaty,55.7456,30.7533,33.06,96,100,9.6,RU,1611268940
suksun,57.1431,57.3949,1.06,93,100,6.2,RU,1611268940
northam,51.0333,-4.2167,43.0,83,28,8.01,GB,1611268940
xifeng,42.7372,124.7222,9.21,95,100,3.18,CN,1611268941
bayangol,50.6977,103.4656,3.33,89,99,2.8,RU,1611268941
sinnamary,5.3833,-52.95,76.59,88,100,12.88,GF,1611268941
ilhabela,-23.7781,-45.3581,76.26,84,100,5.64,BR,1611268942
meadow lake,34.8014,-106.5436,53.6,37,75,4.61,US,1611268942
berdigestyakh,62.0989,126.6992,-56.09,60,89,2.57,RU,1611268942
baglan,36.1307,68.7083,39.51,80,64,5.39,AF,1611268942
oranjemund,-28.55,16.4333,67.87,76,56,2.98,NA,1611268943
cayenne,4.9333,-52.3333,73.4,100,75,9.22,GF,1611268943
mecca,21.4267,39.8261,73.02,30,0,10.8,SA,1611268943
axim,4.8699,-2.2405,78.62,86,65,6.44,GH,1611268944
maniitsoq,65.4167,-52.9,24.73,82,0,8.81,GL,1611268944
kalaleh,37.3807,55.4916,30.13,96,92,4.83,IR,1611268944
almaznyy,48.0448,40.045,14.0,85,75,4.47,RU,1611268945
ontario,34.0633,-117.6509,73.4,37,20,12.66,US,1611268660
vung tau,10.346,107.0843,74.5,87,60,3.87,VN,1611268945
nkoteng,4.5167,12.0333,68.34,80,6,2.95,CM,1611268946
elizabeth city,36.2946,-76.2511,50.0,49,1,10.36,US,1611268946
qasigiannguit,68.8193,-51.1922,14.0,67,13,4.61,GL,1611268947
morant bay,17.8815,-76.4093,86.0,58,20,11.5,JM,1611268948
caranavi,-15.8167,-67.55,65.21,88,100,1.79,BO,1611268948
komsomolskiy,40.4272,71.7189,42.12,64,100,7.63,UZ,1611268948
uige,-7.6087,15.0613,67.32,96,94,2.17,AO,1611268949
orodara,10.9492,-4.9342,77.0,25,0,5.75,BF,1611268949
severobaykalsk,55.65,109.3167,-8.28,88,96,4.43,RU,1611268949
lodingen,68.414,15.9951,15.8,53,20,25.32,NO,1611268949
cockburn town,21.4612,-71.1419,75.2,73,40,10.36,TC,1611268950
choix,26.7092,-108.3219,72.21,70,58,4.18,MX,1611268950
mana,5.6592,-53.7767,76.84,87,82,12.77,GF,1611268951
kampen,52.555,5.9111,41.0,96,100,1.34,NL,1611268951
siocon,7.7061,122.1353,77.23,83,99,2.95,PH,1611268951
thinadhoo,0.5333,72.9333,82.78,71,91,7.49,MV,1611268952
okhotsk,59.3833,143.3,-10.37,82,100,11.18,RU,1611268952
xalpatlahuac,17.4667,-98.6167,75.15,33,0,1.07,MX,1611268952
rock sound,24.9,-76.2,71.58,60,82,5.66,BS,1611268952
namibe,-15.1961,12.1522,73.36,76,100,7.81,AO,1611268953
half moon bay,37.4636,-122.4286,61.0,54,75,5.75,US,1611268953
gorontalo,0.5412,123.0595,76.98,84,81,3.22,ID,1611268953
lubbock,33.6001,-101.8338,68.0,30,75,14.97,US,1611268954
dingle,10.9995,122.6711,76.51,87,55,2.33,PH,1611268954
lasa,46.6166,10.7002,34.0,100,75,5.14,IT,1611268955
bonavista,48.6499,-53.1147,28.99,100,100,8.05,CA,1611268955
lynden,48.9465,-122.4521,48.99,43,20,10.36,US,1611268955
aniva,46.7144,142.5294,1.4,85,40,4.47,RU,1611268955
berezovyy,51.6667,135.7,-16.2,79,72,4.38,RU,1611268956
alihe,50.5667,123.7167,-11.13,86,5,3.02,CN,1611268956
